"Field: Masasi R1,R2,R3"
"Month: 2018/04"
Day,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Activities
"Gap filling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN
Planting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ploughing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pruning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seed bed preparation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seed soaking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sowing (legumes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sowing (maize)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thinning,,,,,,,,,,,,,,,,,,,,,SN,,,,,,,,,
Transplanting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weeding,,,,,,,FS,,,,,,,,,,,,,,,,,SN,SN,,,,,
"Pest control application",,,,,,FS,,,FS,,,,SN,,SN,FS,,,SN,,FS,,SN,,,SN,,,,
"Pest control preparation",,,,,,,,,,,SN,,,,,,,FS,,,,SN,,,SN,,,,,
"Compost application",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Compost preparation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mulch application",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mulch preparation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top dressing application",,,,,,FS,,,FS,,,,,,,FS,FS,,SN,,,,SN,,,SN,,,,
"Top dressing preparation",,,,,,,,,,,,,,,,,,,,,,,,,,SN,,,,
Measurements
"Number of flowering plants (Cassava - Development)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of planted sticks (Cassava - Development)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of sprouted plants (Cassava - Development)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plant size (Cassava - Development)",,,,SN,,,,,SN,,,,,,,,,,,,,,,,,,,,,FS
"Health report (Cassava - Health)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of harvested tubers per plant (Cassava - Productivity)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of survived plants (Cassava - Productivity)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weight of harvested tubers (Cassava - Productivity)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of flowering plants (Maize - Development)",,,,,,,,,,,,,,,SN,,,,,,,,,,,,,,,
"Number of germinated plants (Maize - Development)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of leaves (Maize - Development)",,,,SN,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of planted seeds (Maize - Development)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of plants without cobs (Maize - Development)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Plant size (Maize - Development)",,,,,,,,,,,,,,,,SN,,,,,,,,,,,,,,
"Stem diameter (Maize - Development)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health report (Maize - Health)",,,,,,,,,,,,,,SN,,,,,,,,,,,,,,,,
"Number of survived plants (Maize - Productivity)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weight of harvested kernels (Maize - Productivity)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of germinated plants (Pulses - Development)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of planted seeds (Pulses - Development)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of survived plants (Pulses - Productivity)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weight of harvested grains (Pulses - Productivity)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soil moisture (Soil - Soil moisture)",,,,,,SN,,,,,,,,,,,,,,,,,,,,,FS,,,
