		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
01/09/18	12:00 p	30.6	30.8	30.6	60	22.0	6.4	NW	3.22	16.1	WNW	30.6	34.3	34.3	1034.6	0.00	0.0	0.000	0.256	32.4	55	22.2	36.7	9.74	1.1498	261	1	38.2	30
01/09/18	12:30 p	30.1	30.6	30.0	61	21.7	6.4	NW	3.22	16.1	W	30.1	33.4	33.4	1034.2	0.00	0.0	0.000	0.244	32.3	55	22.1	36.6	9.74	1.1496	698	1	100.0	30
01/09/18	1:00 p	30.5	30.7	30.1	61	22.1	9.7	W	4.83	20.9	WSW	30.5	34.3	34.3	1033.8	0.00	0.0	0.000	0.253	32.7	54	22.1	37.1	9.62	1.1479	698	1	100.0	30
01/09/18	1:30 p	30.8	31.4	30.4	60	22.2	9.7	W	4.83	19.3	W	30.8	34.6	34.6	1033.3	0.00	0.0	0.000	0.260	33.1	53	22.2	37.7	9.39	1.1458	699	1	100.0	30
01/09/18	2:00 p	31.0	31.3	30.8	60	22.3	11.3	W	5.63	22.5	W	31.0	34.8	34.8	1032.7	0.00	0.0	0.000	0.264	33.2	53	22.4	38.1	9.38	1.1442	701	1	100.0	30
01/09/18	3:00 p	31.3	31.3	30.9	60	22.6	11.3	W	5.63	20.9	WSW	31.3	35.3	35.3	1032.3	0.00	0.0	0.000	0.270	33.1	53	22.2	37.7	9.39	1.1446	296	1	43.3	30
01/09/18	3:30 p	31.2	31.8	31.2	59	22.3	11.3	W	5.63	22.5	WSW	31.2	35.0	35.0	1031.8	0.00	0.0	0.000	0.269	33.4	52	22.2	38.2	9.26	1.1426	702	1	100.0	30
01/09/18	4:00 p	31.4	32.1	31.2	58	22.1	9.7	WSW	4.83	20.9	SW	31.4	35.2	35.2	1031.4	0.00	0.0	0.000	0.272	33.6	52	22.4	38.6	9.25	1.1412	698	1	100.0	30
01/09/18	4:30 p	32.2	32.4	31.3	56	22.3	9.7	W	4.83	22.5	SW	32.2	36.6	36.6	1031.1	0.00	0.0	0.000	0.289	33.7	51	22.2	38.4	9.10	1.1409	702	1	100.0	30
01/09/18	5:00 p	30.4	32.2	30.4	59	21.5	11.3	W	5.63	20.9	W	30.4	33.7	33.7	1031.7	0.00	0.0	0.000	0.251	32.7	51	21.3	36.3	9.13	1.1469	701	1	100.0	30
01/09/18	5:30 p	29.7	30.4	29.6	63	21.9	8.0	WSW	4.02	17.7	WSW	29.7	32.9	32.9	1032.3	0.00	0.0	0.000	0.236	31.8	53	21.1	35.1	9.46	1.1513	702	1	100.0	30
01/09/18	6:00 p	29.3	29.7	29.2	65	22.0	8.0	WSW	4.02	17.7	SW	29.3	32.5	32.5	1032.7	0.00	0.0	0.000	0.228	31.1	55	21.0	33.9	9.79	1.1549	701	1	100.0	30
01/09/18	6:30 p	28.9	29.3	28.9	67	22.1	6.4	SW	3.22	17.7	W	28.9	32.2	32.2	1033.2	0.00	0.0	0.000	0.220	30.8	56	21.0	33.8	10.00	1.1562	701	1	100.0	30
01/09/18	7:00 p	28.3	28.9	28.3	68	21.9	4.8	S	2.41	14.5	S	28.3	31.0	31.0	1033.5	0.00	0.0	0.000	0.208	30.4	57	21.0	33.4	10.18	1.1581	702	1	100.0	30
