		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
03/23/18	12:30 a	25.0	25.4	25.0	89	23.1	1.6	SE	0.80	8.0	SE	25.0	27.2	27.2	1035.3	0.00	0.0	0.000	0.139	27.1	69	20.9	28.7	12.52	1.1734	697	1	100.0	30
03/23/18	1:00 a	24.6	25.1	24.6	91	23.0	0.0	E	0.00	4.8	ESE	24.6	26.7	26.7	1035.1	0.00	0.0	0.000	0.131	26.8	70	20.8	28.3	12.84	1.1743	700	1	100.0	30
03/23/18	1:30 a	24.2	24.6	24.1	94	23.1	0.0	E	0.00	1.6	E	24.2	26.3	26.3	1035.0	0.00	0.0	0.000	0.122	26.5	70	20.6	27.9	12.86	1.1758	701	1	100.0	30
03/23/18	2:00 a	24.0	24.2	23.9	95	23.1	0.0	---	0.00	0.0	---	24.0	26.1	26.1	1034.9	0.00	0.0	0.000	0.118	26.3	70	20.4	27.6	12.86	1.1769	698	1	100.0	30
03/23/18	2:30 a	23.9	24.1	23.9	96	23.2	0.0	E	0.00	3.2	E	23.9	25.9	25.9	1034.9	0.00	0.0	0.000	0.116	26.1	71	20.4	27.4	13.09	1.1777	702	1	100.0	30
03/23/18	3:00 a	23.8	23.9	23.8	95	23.0	0.0	E	0.00	4.8	E	23.8	25.8	25.8	1035.0	0.00	0.0	0.000	0.115	25.9	71	20.2	27.2	13.11	1.1787	703	1	100.0	30
03/23/18	3:30 a	23.7	23.8	23.6	96	23.0	0.0	E	0.00	4.8	E	23.7	25.6	25.6	1034.7	0.00	0.0	0.000	0.111	25.7	72	20.3	27.0	13.35	1.1790	697	1	100.0	30
03/23/18	4:00 a	23.5	23.7	23.4	96	22.8	0.0	---	0.00	0.0	---	23.5	25.3	25.3	1035.1	0.00	0.0	0.000	0.108	25.5	72	20.1	26.7	13.38	1.1806	701	1	100.0	30
03/23/18	4:30 a	23.5	23.5	23.4	97	23.0	0.0	NE	0.00	4.8	NE	23.5	25.4	25.4	1035.1	0.00	0.0	0.000	0.108	25.4	73	20.2	26.7	13.70	1.1809	700	1	100.0	30
03/23/18	5:00 a	23.3	23.5	23.3	97	22.8	0.0	NE	0.00	3.2	NE	23.3	25.1	25.1	1035.1	0.00	0.0	0.000	0.103	25.3	73	20.1	26.6	13.70	1.1815	701	1	100.0	30
03/23/18	5:30 a	23.0	23.3	23.0	97	22.5	0.0	---	0.00	0.0	---	23.0	24.8	24.8	1035.2	0.00	0.0	0.000	0.097	25.1	73	19.9	26.3	13.71	1.1829	702	1	100.0	30
03/23/18	6:00 a	22.9	23.1	22.8	97	22.4	0.0	---	0.00	0.0	---	22.9	24.6	24.6	1035.3	0.00	0.0	0.000	0.095	24.9	73	19.7	26.1	13.71	1.1840	699	1	100.0	30
03/23/18	6:30 a	22.7	22.9	22.7	97	22.2	0.0	NE	0.00	3.2	NE	22.7	24.4	24.4	1035.6	0.00	0.0	0.000	0.091	24.7	74	19.7	25.9	14.02	1.1852	701	1	100.0	30
03/23/18	7:00 a	22.9	22.9	22.7	98	22.6	0.0	NE	0.00	3.2	NE	22.9	24.7	24.7	1036.0	0.00	0.0	0.000	0.095	24.6	75	19.9	25.9	14.35	1.1855	697	1	100.0	30
03/23/18	7:30 a	23.7	23.7	22.9	96	23.0	0.0	NE	0.00	4.8	NE	23.7	25.7	25.7	1036.1	0.00	0.0	0.000	0.112	25.3	80	21.6	27.1	16.00	1.1798	690	1	100.0	30
03/23/18	8:00 a	24.7	24.7	23.7	94	23.7	0.0	NE	0.00	4.8	NE	24.7	27.1	27.1	1036.5	0.00	0.0	0.000	0.133	26.8	83	23.6	29.8	17.04	1.1707	700	1	100.0	30
03/23/18	8:30 a	26.6	26.6	24.7	89	24.6	1.6	NNE	0.80	4.8	NE	26.6	30.1	30.1	1036.7	0.00	0.0	0.000	0.171	28.6	81	25.0	33.9	16.21	1.1612	699	1	100.0	30
03/23/18	9:00 a	27.8	27.8	26.6	85	25.0	1.6	SSW	0.80	6.4	SSW	27.8	32.4	32.4	1036.6	0.00	0.0	0.000	0.197	30.0	78	25.7	36.7	15.07	1.1539	702	1	100.0	30
03/23/18	9:30 a	27.9	28.1	27.8	81	24.4	1.6	W	0.80	6.4	WNW	27.9	32.2	32.2	1036.5	0.00	0.0	0.000	0.200	30.5	73	25.1	36.9	13.51	1.1532	702	1	100.0	30
03/23/18	10:00 a	28.6	28.7	27.9	78	24.4	3.2	W	1.61	12.9	NW	28.6	33.6	33.6	1036.5	0.00	0.0	0.000	0.214	30.9	71	25.1	37.2	12.85	1.1517	699	1	100.0	30
03/23/18	10:30 a	30.1	30.1	28.6	72	24.5	3.2	NNW	1.61	9.7	W	30.1	35.8	35.8	1036.1	0.00	0.0	0.000	0.245	31.4	70	25.3	38.2	12.55	1.1491	701	1	100.0	30
03/23/18	11:00 a	29.7	30.2	29.7	72	24.1	3.2	W	1.61	9.7	W	29.7	34.9	34.9	1036.0	0.00	0.0	0.000	0.237	31.7	66	24.5	37.8	11.69	1.1495	694	1	100.0	30
