		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
09/01/18	12:30 a	22.3	22.4	22.3	80	18.7	3.2	ESE	1.61	11.3	SE	22.3	23.2	23.2	1041.0	0.00	0.0	0.000	0.083	23.9	63	16.4	24.5	11.45	1.1997	696	1	100.0	30
09/01/18	1:00 a	22.2	22.4	22.2	81	18.8	1.6	ESE	0.80	9.7	ESE	22.2	23.1	23.1	1040.6	0.00	0.0	0.000	0.081	23.8	64	16.6	24.4	11.65	1.1995	699	1	100.0	30
09/01/18	1:30 a	22.0	22.3	22.0	82	18.8	1.6	ESE	0.80	6.4	ESE	22.0	22.8	22.8	1040.3	0.00	0.0	0.000	0.076	23.7	64	16.5	24.3	11.65	1.1997	699	1	100.0	30
09/01/18	2:00 a	21.7	22.0	21.6	83	18.7	0.0	ESE	0.00	4.8	ESE	21.7	22.6	22.6	1040.2	0.00	0.0	0.000	0.069	23.4	64	16.2	24.1	11.65	1.2007	698	1	100.0	30
09/01/18	2:30 a	21.6	21.7	21.6	84	18.8	0.0	ESE	0.00	6.4	ESE	21.6	22.6	22.6	1039.9	0.00	0.0	0.000	0.068	23.3	65	16.3	23.9	11.85	1.2009	701	1	100.0	30
09/01/18	3:00 a	21.3	21.6	21.3	85	18.7	0.0	---	0.00	0.0	---	21.3	22.2	22.2	1039.8	0.00	0.0	0.000	0.063	23.1	66	16.4	23.7	12.08	1.2014	701	1	100.0	30
09/01/18	3:30 a	20.7	21.3	20.7	86	18.3	0.0	---	0.00	0.0	---	20.7	21.7	21.7	1039.6	0.00	0.0	0.000	0.050	22.9	65	16.0	23.3	11.85	1.2026	698	1	100.0	30
09/01/18	4:00 a	20.2	20.8	20.2	86	17.7	0.0	---	0.00	0.0	---	20.2	21.1	21.1	1039.9	0.00	0.0	0.000	0.038	22.7	65	15.7	23.0	11.85	1.2042	701	1	100.0	30
09/01/18	4:30 a	19.8	20.2	19.7	88	17.7	0.0	---	0.00	0.0	---	19.8	20.6	20.6	1040.0	0.00	0.0	0.000	0.030	22.4	65	15.5	22.6	11.85	1.2058	697	1	100.0	30
09/01/18	5:00 a	19.4	19.8	19.4	88	17.4	0.0	---	0.00	0.0	---	19.4	20.2	20.2	1040.3	0.00	0.0	0.000	0.023	22.1	65	15.2	22.2	11.85	1.2080	701	1	100.0	30
09/01/18	5:30 a	18.8	19.4	18.8	92	17.5	0.0	---	0.00	0.0	---	18.8	19.5	19.5	1040.5	0.00	0.0	0.000	0.009	21.8	65	14.9	21.8	11.85	1.2096	699	1	100.0	30
09/01/18	6:00 a	17.9	18.8	17.9	91	16.4	0.0	---	0.00	0.0	---	17.9	18.4	18.4	1040.8	0.00	0.0	0.009	0.000	21.4	65	14.5	21.3	11.85	1.2121	698	1	100.0	30
09/01/18	6:30 a	17.3	17.9	17.2	92	16.0	0.0	---	0.00	0.0	---	17.3	17.7	17.7	1041.3	0.00	0.0	0.022	0.000	20.9	65	14.1	20.8	11.86	1.2151	697	1	100.0	30
09/01/18	7:00 a	18.3	18.3	17.2	95	17.5	0.0	NE	0.00	11.3	NE	18.3	19.0	19.0	1041.8	0.00	0.0	0.000	0.000	20.8	66	14.2	20.7	12.15	1.2163	698	1	100.0	30
09/01/18	7:30 a	21.8	21.8	18.3	86	19.4	0.0	E	0.00	1.6	E	21.8	22.9	22.9	1042.5	0.00	0.0	0.000	0.073	21.4	70	15.7	21.6	13.13	1.2123	699	1	100.0	30
09/01/18	8:00 a	23.3	23.4	21.9	78	19.3	4.8	SE	2.41	14.5	SSE	23.3	24.4	24.4	1042.7	0.00	0.0	0.000	0.104	22.9	70	17.2	23.7	13.02	1.2044	703	1	100.0	30
09/01/18	8:30 a	24.2	24.3	23.3	75	19.5	6.4	S	3.22	12.9	SSE	24.2	25.5	25.5	1042.8	0.00	0.0	0.000	0.123	24.3	69	18.3	25.3	12.72	1.1973	700	1	100.0	30
09/01/18	9:00 a	25.6	25.6	24.2	69	19.5	8.0	S	4.02	19.3	S	25.6	26.7	26.7	1043.2	0.00	0.0	0.000	0.152	25.7	66	18.9	26.6	11.98	1.1912	701	1	100.0	30
09/01/18	9:30 a	26.5	26.6	25.6	63	18.9	9.7	SSW	4.83	20.9	S	26.5	27.4	27.4	1043.2	0.00	0.0	0.000	0.170	27.1	61	18.9	28.0	10.95	1.1860	702	1	100.0	30
09/01/18	10:00 a	27.5	27.5	26.5	58	18.5	8.0	S	4.02	24.1	S	27.5	28.4	28.4	1042.9	0.00	0.0	0.000	0.191	28.2	59	19.4	29.5	10.55	1.1803	701	1	100.0	30
09/01/18	10:30 a	28.6	28.6	27.5	55	18.6	11.3	SSE	5.63	27.4	SSE	28.6	29.8	29.8	1042.5	0.00	0.0	0.000	0.213	29.8	55	19.8	31.7	9.84	1.1731	700	1	100.0	30
09/01/18	11:00 a	28.4	28.7	28.3	54	18.2	9.7	SSW	4.83	29.0	S	28.4	29.4	29.4	1042.1	0.00	0.0	0.000	0.209	31.1	50	19.4	32.9	9.05	1.1683	701	1	100.0	30
09/01/18	11:30 a	28.8	29.1	28.1	51	17.7	11.3	SW	5.63	29.0	SW	28.8	29.9	29.9	1041.7	0.00	0.0	0.000	0.219	31.7	47	19.0	33.7	8.47	1.1661	700	1	100.0	30
