                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW                Rain    Heat    Cool    In     In    In     In     In   In Air  Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index   Bar    Rain  Rate    D-D     D-D    Temp   Hum    Dew   Heat    EMC Density  Samp   Tx   Recept  Int.
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
10/30/18 12:30a   22.5   23.0   22.4    77   18.3  11.3    SE   5.63  20.9    SE   22.5   23.3   23.3  1036.5  0.00   0.0   0.000   0.087   25.3    53   15.1   25.4   9.65 1.1904    701    1    100.0   30 
10/30/18  1:00a   22.2   22.5   22.2    80   18.6  14.5    SE   7.24  25.7    SE   21.4   23.0   22.2  1036.4  0.00   0.0   0.000   0.081   24.9    55   15.2   25.1   9.98 1.1918    703    1    100.0   30 
10/30/18  1:30a   21.8   22.2   21.8    81   18.4   9.7    SE   4.83  17.7    SE   21.8   22.6   22.6  1036.1  0.00   0.0   0.000   0.073   24.5    56   15.1   24.7  10.21 1.1932    700    1    100.0   30 
10/30/18  2:00a   21.7   21.9   21.7    82   18.5   6.4   SSE   3.22  17.7    SE   21.7   22.6   22.6  1036.2  0.00   0.0   0.000   0.071   24.1    58   15.3   24.5  10.53 1.1946    701    1    100.0   30 
10/30/18  2:30a   21.6   21.8   21.6    82   18.4   6.4    SE   3.22  16.1    SE   21.6   22.4   22.4  1036.0  0.00   0.0   0.000   0.068   23.7    59   15.2   24.2  10.76 1.1960    701    1    100.0   30 
10/30/18  3:00a   21.5   21.7   21.5    82   18.3   4.8    SE   2.41  12.9    SE   21.5   22.3   22.3  1035.8  0.00   0.0   0.000   0.066   23.4    59   15.0   23.8  10.78 1.1973    703    1    100.0   30 
10/30/18  3:30a   21.2   21.5   21.2    82   18.0   3.2    SE   1.61  11.3     S   21.2   21.9   21.9  1036.1  0.00   0.0   0.000   0.059   23.2    60   15.0   23.6  10.97 1.1985    702    1    100.0   30 
10/30/18  4:00a   20.4   21.2   20.4    84   17.6   0.0   SSE   0.00   4.8   SSE   20.4   21.3   21.3  1036.4  0.00   0.0   0.000   0.043   22.9    60   14.7   23.2  10.99 1.2005    700    1    100.0   30 
10/30/18  4:30a   19.4   20.3   19.4    88   17.4   1.6   ESE   0.80   4.8   SSE   19.4   20.2   20.2  1036.7  0.00   0.0   0.000   0.023   22.4    60   14.3   22.5  11.00 1.2033    697    1    100.0   30 
10/30/18  5:00a   19.2   19.4   19.2    88   17.1   0.0   ESE   0.00   4.8   ESE   19.2   19.9   19.9  1036.9  0.00   0.0   0.000   0.017   22.1    60   13.9   21.9  11.02 1.2056    702    1    100.0   30 
10/30/18  5:30a   18.5   19.2   18.5    89   16.7   0.0   ESE   0.00   1.6   ESE   18.5   19.1   19.1  1037.4  0.00   0.0   0.000   0.003   21.7    60   13.6   21.4  11.03 1.2078    703    1    100.0   30 
10/30/18  6:00a   18.5   18.6   18.4    91   17.0   0.0   ---   0.00   0.0   ---   18.5   19.1   19.1  1038.1  0.00   0.0   0.000   0.003   21.3    61   13.5   21.0  11.23 1.2104    700    1    100.0   30 
10/30/18  6:30a   19.0   19.0   18.4    90   17.3   0.0   ---   0.00   0.0   ---   19.0   19.7   19.7  1038.2  0.00   0.0   0.000   0.014   21.5    64   14.4   21.4  11.65 1.2087    701    1    100.0   30 
